PRODUTO,MARCA,VALOR,IMAGEM
Feijao 1kg,Kicaldo,"8,6",https://propao.agilecdn.com.br/4491_1.jpg
arroz 1kg,Tio joão,"6,5",https://superprix.vteximg.com.br/arquivos/ids/174487/Arroz-Tio-Joao-Branco-1kg.png?v=636209529502870000
guaraná 1L,Guaraná Antartica,8,https://choppbrahmaexpress.vtexassets.com/arquivos/ids/155720/guaran_2.png?v=637353454730230000
Papel Higiênico,Fofinho,15,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRG9rmZKhpHqGJAOCUieLY-D97BeB8ppwB5ThGEI8BHyDjdk20NeqoCvrc7b_cszM44B2VCUckbCcjzU3TJmr-e1uvxOV2m_R1BBLg8szyjqO7F5e0Y8Cae&usqp=CAE
Coca Cola 2.5L,Coca Cola,"9,3",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR9AF9MwNeMrrEI52vsZJpS5bCtEP_zFVATE6B_O-hjM-G3TCTIdDEAtGhQ4tFpUn_l90-uO2BXok5lOIefiIRtWOhEvoNkBb9ziXKCthPnm782Vo-Ziy6xTg&usqp=CAE
Picanha,Friboi,"138,6",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQqe_6gyLVkcuGxrG9VRPqdfsK8WY_gJ8mtTF-88doNv9mwyP4C87JVXI5IqZ9XAYMw9SNrLd5HQ4rOQTIzLSBle1RbbZEkicNptI0JtfXYzlMaMtRbxD-59PY&usqp=CAE
Escova de Dente,Johnson & Johnson,"14,5",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR96zhcDqUmSMPxmdc9bXLkFO8XtrMdNcAgb9nix97P5nTSPnIIEGYNjJwFJIV0BFLKn5zY_QrfEoJJhAo3x1obecgRyw-KZDOuHij3zH1S&usqp=CAE
Leite 1L,Itambé,"6,5",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS6zDYWtBMt_-AbBzb_RjY-fdJ3970NVzqamwhfMRgmy7JRjBGfrevd60sb5a-FCwQeCakSAI6kuEF5j87LiGvcCpk6aRiAkzbN18CQI7BwjcxSx4GtW8UA3g&usqp=CAE
Queijo Mussarela 4kg,Lorenzo,"37,7",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQA6d5mqvWWXoBQswmj-4Vn5W5Gcq-he4SAd8-HDtM2b2OGjVRAU2EvXGpz8eVf0-Zf0GDJBm6l0BzvJou1Lrp-4paCE5JjwrOq9JaaNqfHkv_z4YNpBUXl&usqp=CAE
Pão de Forma 390g,Bauducco,"9,5",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQQ8nhqUTmG1FHKvb-UmTv3AZqDHDOklq2a01uuUWi3Rlt_-X0vQacgPHiwpDz9mmdgGmCCb2_a9466QOHeK46cuAaGbe2sI4IUQEqNx1rpnybRRaRiQ4pu1Q&usqp=CAE
Presunto 300g,Sadia,30,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS4ztZ8cIDcGZM2w7qps0a36hfmLuMJssBCNJPPZM02V_ltrFbEGcOV_sYTbS49C_qORlSUkfL9O6wGoCx61tMuMSwwxK9G43roYFF-0lI2jcU6MHQe3zN_&usqp=CAE
Café 250g,Pilão,"7,9",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ7iOTCCGvIk7YjHfM7GQlqnBHRQc3xH7_kMGMBN4bWJ8g5JgZWWLaViXAwyg0_oexkpZhkNIkuYsuj3-gJn0loNWg7ssP9aeKjJ_D7fAA9WUwkXmIdFBLz&usqp=CAE
Chá 15 Sachês de 15g,Chá Leão,"8,7",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTyHxRe3goCG1OYmD-9ezvmExR-7uzSckL0aYSIWVCFSyGBFOZ0-poJOZMZLb9qQ7p97etgwoHg7Djvxw5NZdzh0jnhhfbf1-aMFGedh4PQrjFFmu9Jq3iw3w&usqp=CAE
Molho de Tomate 460g,Tarantella,"3,1",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR695yRIzmcjLF99HomSpBn3yn0WU6mxXE3CITJezt9G6Zxzih-5gAT3Fuq7-LXdlCjtkM4JaIknIAG4l_UKq4rmaqWQ383OrMpNbIcy7RRujDEb2t1XZli&usqp=CAE
Macarrão Espaguete 400g,Vitarella,"2,8",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTbVsMRxNISEQzrIvfZ4DFfYuF3jej0YXkGrLYtfgeliW5c6sFdjHILTGMjdVhQXHqtwOZozclb1SRgwKzYcpoyWeXffhobjmntjmsjaoB8bgtN-9K8CaHU1w&usqp=CAE
Chocolate ao Leite 90g,Lacta,8,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQCftRZwodV2O8p7v4aYIDySyZOhfcpiIaPdKmmB7xpIuP9nTgJc_LpvbXzs228IuxQcGkMVTj9bVMgEL65qONe53A2Cq5LDo_9-R77YoGu3mZJUifUxxCMmQ&usqp=CAE
Bola de Futebol Oficial,Penalty,"229,9",https://cambuci.vtexassets.com/arquivos/ids/1000149-1200-auto?v=638355037626170000&width=1200&height=auto&aspect=true
Camisa de futebol Sport ,Sport Club do Recife,"349,99",https://www.lojapst.com.br/upload/produto/imagem/b_camisa-umbro-oficial-1-2024-torcedor-masculina.webp
Camisa de Futebol Santa Cruz,Santa Cruz Futebol clube,"239,99",https://http2.mlstatic.com/D_NQ_NP_733305-MLB78510539643_082024-O.webp
Camisa de Futebol Náutico,Clube Náutico Capibaribe,"299,9",https://imgcentauro-a.akamaihd.net/1366x1366/M1537P06.jpg    
